timestamp_bst,pm2_5_ugm3,pm10_ugm3,no2_ugm3,o3_ugm3,co_mgm3,so2_ugm3,dust_aod_550nm
1/8/2017 0:00,208.26328,293.91037,11.72531,111.04546,0.9958667,10.46854,0.002698201
1/8/2017 3:00,197.29436,278.8451,14.365008,96.73861,1.1424117,12.808372,0.003489303
1/8/2017 6:00,241.63426,341.77548,26.09585,85.74216,1.2067529,11.4013195,0.004764076
1/8/2017 9:00,204.4655,288.97256,15.625125,109.99166,1.0409354,8.609777,0.005315886
1/8/2017 12:00,92.498024,130.55078,7.160994,151.62517,0.76662165,5.10695,0.00582411
1/8/2017 15:00,64.50017,90.98153,3.8801777,141.54387,0.5572885,3.7480757,0.006178965
1/8/2017 18:00,146.07414,205.56848,7.4894657,120.199196,0.6763479,6.576837,0.006220724
1/8/2017 21:00,189.63539,267.13437,8.488676,111.62081,0.75154054,7.731564,0.006173135
1/9/2017 0:00,213.86179,301.8181,9.919756,104.67328,0.8023458,9.278722,0.00619662
1/9/2017 3:00,216.25568,305.7271,12.118989,90.89307,0.8946803,10.912547,0.006044229
1/9/2017 6:00,235.8687,333.6791,19.268908,79.38378,0.99826765,10.19691,0.006790537
1/9/2017 9:00,190.63673,269.4745,13.376947,99.60065,0.8911473,7.820433,0.006125844
1/9/2017 12:00,71.579636,101.05529,4.3102107,143.34467,0.67278033,4.589976,0.006213645
1/9/2017 15:00,61.45767,86.68766,2.9964652,143.56583,0.5464759,3.8545449,0.00769446
1/9/2017 18:00,165.71054,233.10696,6.9059854,119.70233,0.65614283,6.264898,0.00835922
1/9/2017 21:00,244.55437,344.41537,8.238923,115.82803,0.743996,7.3032503,0.00860204
1/10/2017 0:00,251.47731,354.87073,10.882287,108.61631,0.84125257,9.21274,0.008841296
1/10/2017 3:00,243.25117,343.88928,13.966863,93.17856,0.9912148,11.197455,0.008934931
1/10/2017 6:00,257.22385,363.87192,15.517559,78.2658,1.0683885,10.71545,0.008563051
1/10/2017 9:00,235.43106,332.83606,9.509485,95.54698,0.99888444,9.32834,0.008140755
1/10/2017 12:00,124.56602,175.90833,3.805814,152.42686,1.0524321,7.1152234,0.007668726
1/10/2017 15:00,114.02583,160.90279,2.9339347,137.73299,0.8690922,5.751283,0.006945844
1/10/2017 18:00,134.64265,189.7126,6.275028,97.96118,0.8192716,6.316879,0.005597955
1/10/2017 21:00,173.66792,244.62401,6.7367964,88.17884,0.7984975,6.870071,0.004141898
1/11/2017 0:00,191.13673,269.5648,9.5779085,81.800514,0.91579986,9.20018,0.004777139
1/11/2017 3:00,172.63062,243.66534,15.452122,68.45106,1.1556057,13.245855,0.006508144
1/11/2017 6:00,178.52571,252.14746,17.40118,66.336044,1.2180828,12.650713,0.007020218
1/11/2017 9:00,183.17644,258.66296,10.300579,93.993416,1.2113643,10.075992,0.008365618
